City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
201,San Carlos De Bariloche,AR,-41.1456,-71.3082,35.35,75,40,23.02
202,Saint-Philippe,RE,-21.3585,55.7679,67.59,73,32,7.27
203,Tlacotepec,MX,20.0667,-97.8667,67.8,91,92,1.36
204,Necochea,AR,-38.5473,-58.7368,52.83,53,100,7.7
205,Ixtapa,MX,20.7,-105.2,72.19,81,1,0.74
206,Maryville,US,35.7565,-83.9705,71.15,94,100,6.91
207,Abha,SA,18.2164,42.5053,66.02,31,0,0.0
208,Chuy,UY,-33.6971,-53.4616,51.37,82,26,6.22
209,Tazmalt,DZ,36.3868,4.3989,75.0,27,33,5.01
210,Husavik,IS,66.0449,-17.3389,37.63,98,100,6.91
211,Pevek,RU,69.7008,170.3133,36.52,91,80,6.6
212,Umea,SE,63.8284,20.2597,44.91,100,69,2.3
213,Sangar,RU,63.9242,127.4739,49.03,69,96,1.97
214,Matara,LK,5.9485,80.5353,82.47,81,90,11.74
215,Port-Gentil,GA,-0.7193,8.7815,77.49,79,81,15.77
216,Puerto Leguizamo,CO,-0.1934,-74.7819,71.15,98,67,2.26
217,Whitehorse,CA,60.7161,-135.0538,59.77,21,75,19.57
218,Bairiki,KI,1.3292,172.9752,86.0,79,40,11.5
219,Vagur,FO,61.4732,-6.8119,46.92,91,18,10.83
220,Grand Gaube,MU,-20.0064,57.6608,73.8,77,1,3.0
221,Souillac,MU,-20.5167,57.5167,73.78,73,40,5.75
222,Kuytun,RU,54.3419,101.5036,60.48,40,54,8.25
223,Mandalgovi,MN,45.7625,106.2708,72.68,14,11,11.36
224,Mahibadhoo,MV,3.7833,72.9667,83.34,75,70,13.15
225,Svetlogorsk,BY,52.6333,29.7333,41.65,88,97,5.7
226,Baykit,RU,61.67,96.37,68.4,39,4,3.24
227,Hanmer Springs,NZ,-42.5167,172.8167,56.77,43,0,4.16
