City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
308,Muroto,JP,71.01,33.2833,134.15,Oota Ryokan
309,Jiwani,PK,85.08,25.05,61.7417,Hamza hotel jiwani
310,Lakes Entrance,AU,59.16,-37.8811,147.981,The Esplanade Resort & Spa
311,Manaure,CO,80.92,11.7751,-72.4445,Hotel Palaaima
313,Guerrero Negro,MX,60.17,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
315,Port Lincoln,AU,66.54,-34.7333,135.8667,Port Lincoln Hotel
316,Da Lat,VN,65.26,11.9465,108.4419,YK Home Villa Dalat
317,Dingle,PH,88.07,10.9995,122.6711,SEGAYA PROPERTY
318,Bojnurd,IR,62.17,37.4747,57.329,Hotel negin bojnourd
319,Flinders,AU,62.38,-34.5833,150.8552,Shellharbour Resort & Conference Centre
320,Ishigaki,JP,78.71,24.3448,124.1572,Hotel Peace Land Ishigakijima
321,Hamilton,US,61.65,39.1834,-84.5333,Six Acres Bed & Breakfast
322,Kpandae,GH,75.04,8.4689,-0.0113,S. Amaski Guest House
323,Kourou,GF,82.11,5.1552,-52.6478,Lodge TAKINI4 Guesthouse KOUROU FGU
324,Warrington,GB,55.51,53.3925,-2.5802,Villaggio Hotel
325,Grand Island,US,62.38,40.925,-98.342,Fairfield Inn & Suites by Marriott Grand Island
327,Atbasar,KZ,52.39,51.8,68.3333,Гостиничный Комплекс Saad
328,Boende,CD,71.13,-0.2167,20.8667,
329,Ambanja,MG,71.02,-13.6833,48.45,Hotel Salama and Fast Food
330,Hami,CN,89.91,42.8,93.45,Laoyutang Resort
331,Dharchula,IN,72.3,29.85,80.5333,Mahara Hotel
332,Cortez,US,61.93,37.3489,-108.5859,Sand Canyon National 9 Inn
333,Hannibal,US,56.35,39.7084,-91.3585,Country Hearth Inn Hannibal
334,Chitral,PK,62.08,35.8462,71.7858,PTDC Motel Chitral
336,Alofi,NU,79.79,-19.0595,-169.9187,Taloa Heights
338,Tignere,CM,66.4,7.3667,12.65,SADECK
341,Frederick,US,71.26,39.4668,-77.3997,Hampton Inn & Suites Frederick-Fort Detrick
342,Ushtobe,KZ,63.57,45.2514,77.9838,Filipin Squad
343,Todos Santos,MX,79.05,23.45,-110.2167,Hotel California Todos Santos
344,Kiunga,PG,87.21,-6.1219,141.2906,Airport Lodge Kiunga
345,Inhambane,MZ,65.86,-23.865,35.3833,Oceano
346,Mahina,PF,83.97,-17.5065,-149.489,Guest Beach Bungalow Tahiti
347,Bonthe,SL,76.8,7.5264,-12.505,Bonthe Holiday Village
348,Dwarka,IN,83.88,22.2394,68.9678,Hotel Narayan Avezika Comfort
349,Kluang,MY,87.82,2.0251,103.3328,Hotel Anika
350,Denpasar,ID,85.71,-8.65,115.2167,OYO 3156 Hotel Warta 2
353,Acapulco,MX,80.42,16.8634,-99.8901,HS Hotsson Smart Acapulco
355,Tombouctou,ML,83.34,20.0,-3.0,
356,Tres Arroyos,AR,53.92,-38.3739,-60.2798,Habitacion Triple con baño y entrada privada
357,Los Llanos De Aridane,ES,65.95,28.6585,-17.9182,Valle Aridane
358,Berdigestyakh,RU,57.81,62.0989,126.6992,
359,Ponta Delgada,PT,67.5,37.7333,-25.6667,Vila Nova Hotel
361,Jumla,NP,57.87,29.2747,82.1838,Royal Garden Hotel
362,Christchurch,NZ,60.33,-43.5333,172.6333,The George
364,Bosaso,SO,86.41,11.2842,49.1816,Red Sea Hotel
